=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.functions.SimpleLinearRegression
Relation:     completed_train_-weka.filters.unsupervised.attribute.Remove-R2-3
Instances:    922
Attributes:   5
              ARM
              Excedente
              PRECIPITACAO
              TEMPERATURA
              ETo
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Linear regression on ARM

-0.06 * ARM + 8.15

Predicting 0 if attribute value is missing.

Attribute mappings:

Model attributes        	    Incoming attributes
------------------------	    ----------------
(numeric) ARM           	--> 1 (numeric) ARM
(numeric) Excedente     	--> 4 (numeric) Excedente
(numeric) PRECIPITACAO  	--> 5 (numeric) PRECIPITACAO
(numeric) TEMPERATURA   	--> 6 (numeric) TEMPERATURA
(numeric) ETo           	--> 7 (numeric) ETo


Time taken to build model: 0 seconds

=== Predictions on test set ===

inst#,actual,predicted,error
1,5.572,7.314,1.741
2,4.139,7.359,3.22
3,6.214,7.422,1.208
4,6.451,7.482,1.031
5,5.535,7.53,1.995
6,7.776,7.591,-0.185
7,6.309,7.636,1.327
8,5.051,7.67,2.619
9,7.322,7.715,0.393
10,8.104,7.76,-0.344
11,7.252,7.796,0.544
12,6.241,7.824,1.584
13,7.794,7.857,0.063
14,6.003,7.879,1.877
15,6.077,7.901,1.824
16,7.554,7.925,0.37
17,5.922,7.942,2.02
18,6.131,7.959,1.828
19,5.066,7.971,2.905
20,7.642,7.989,0.346
21,6.343,8.002,1.659
22,8.365,8.018,-0.347
23,6.144,8.028,1.883
24,6.949,8.039,1.089
25,6.77,8.049,1.279
26,6.472,8.057,1.585
27,6.491,8.065,1.574
28,5.6,8.071,2.472
29,6.361,8.078,1.717
30,6.915,8.085,1.169
31,5.252,8.089,2.837
32,7.127,8.095,0.968
33,7.39,8.1,0.71
34,8.617,8.106,-0.511
35,6.531,8.11,1.579
36,8.124,8.114,-0.01
37,7.781,8.118,0.337
38,6.696,8.121,1.425
39,7.659,8.124,0.465
40,8.545,8.127,-0.418
41,7.797,8.129,0.332
42,8.062,8.132,0.07
43,8.83,8.134,-0.696
44,10.561,8.136,-2.425
45,7.736,8.138,0.402
46,7.735,8.139,0.404
47,9.945,8.141,-1.804
48,8.304,8.142,-0.161
49,6.274,8.143,1.869
50,4.905,8.144,3.238
51,7.06,8.144,1.085
52,7.434,8.145,0.711
53,5.662,8.146,2.484
54,9.838,8.146,-1.692
55,8.862,8.147,-0.714
56,7.553,8.148,0.594
57,9.024,8.148,-0.876
58,6.813,8.149,1.336
59,10.192,8.149,-2.043
60,9.996,8.149,-1.847
61,11.095,8.15,-2.945
62,6.088,8.15,2.062
63,6.517,8.15,1.633
64,7.58,8.15,0.571
65,8.512,8.151,-0.361
66,8.566,8.151,-0.416
67,10.085,8.151,-1.934
68,6.454,8.151,1.697
69,7.161,8.151,0.99
70,7.821,8.151,0.331
71,7.401,8.151,0.75
72,7.625,8.151,0.527
73,8.06,8.152,0.092
74,5.465,8.152,2.687
75,7.319,8.152,0.833
76,6.044,8.152,2.107
77,6.24,8.152,1.912
78,7.296,8.152,0.856
79,9.764,8.152,-1.612
80,7.908,8.152,0.244
81,7.603,8.152,0.549
82,6.539,8.152,1.613
83,7.645,8.152,0.507
84,8.602,8.152,-0.45
85,7.8,8.152,0.352
86,6.623,8.152,1.529
87,7.22,8.152,0.932
88,5.173,8.152,2.979
89,6.63,8.152,1.523
90,7.933,8.152,0.22
91,9.223,8.152,-1.071
92,7,8.152,1.152
93,7.922,8.152,0.231
94,13.724,8.152,-5.572
95,8.14,8.152,0.012
96,9.178,8.152,-1.026
97,5.873,8.152,2.279
98,6.522,8.152,1.631
99,6.759,8.152,1.393
100,8.179,8.152,-0.027
101,7.828,8.152,0.324
102,8.512,8.152,-0.36
103,7.277,8.152,0.875
104,8.922,8.152,-0.77
105,8.219,8.152,-0.066
